"clone","BLUP_in_vitro_area_L1","BLUP_in_vitro_area_ave","BLUP_in_vitro_area_L2","BLUP_in_vitro_NC_ave","BLUP_in_vitro_NC_L1","BLUP_in_vitro_NC_L2","BLUP_stake_area_ave","BLUP_stake_area_L1","BLUP_stakes_area_L2","BLUP_stake_NC_ave","BLUP_stake_NC_L1","BLUP_stakes_NC_L2"
"AM1588-100",4.9819,4.8078,4.6492,1135.8,1418.98,1052.3,2.70825,2.7544,2.5572,1133.99,1295.36,1038.11
"AM1588-101",7.3854,5.9026,4.5573,2108.48,2241.77,1649.78,4.49207,4.57607,3.77809,2777.59,2698.49,2425.87
"AM1588-102",2.0519,1.5979,1.0819,1061.88,1431.55,906.12,1.2874,1.59604,1.32077,919.92,1002.44,1000.66
"AM1588-103",11.9882,10.3866,8.6323,2367.81,2429.88,1817.27,4.40585,4.58719,3.62165,2279.96,2315.2,1968.14
"AM1588-104",9.5555,7.3514,5.6197,2434.54,2416.2,1803.6,2.05543,2.45213,1.7454,1419.79,1555.86,1270
"AM1588-105",8.2774,7.2864,6.3438,1921.97,2035.15,1580.3,1.46968,1.74085,1.47817,746.68,928.37,792.67
"AM1588-106",8.61,7.4925,6.3663,1560.38,1785.19,1296.54,3.49599,3.65091,2.93662,1619.25,1658.02,1493.03
"AM1588-107",9.3737,7.6475,6.1295,1394.08,1712.53,1176.76,2.50243,2.68147,2.25339,1080.28,1090.55,1174.12
"AM1588-108",1.8146,1.2951,0.7483,865.64,1308.69,710.8,1.42391,1.59549,1.44512,811.59,921.9,834.19
"AM1588-109",5.3919,3.9793,2.7571,1404.97,1741.15,1085.91,2.54922,2.90514,2.12549,1417.35,1559.66,1263.75
"AM1588-110",10.0531,9.412,8.9236,3164.29,2727.47,2742.46,3.40261,3.96406,2.48026,1850.74,2190.03,1349.3
"AM1588-113",2.8835,2.2271,1.6362,1095.49,1442.91,908.08,3.29845,3.09623,3.15187,1472.86,1432.47,1475.94
"AM1588-114",9.2812,5.77,4.3164,1619.56,1854.48,1364.57,4.36049,4.22648,3.79102,2129.27,1983.44,2000.78
"AM1588-115",2.5538,1.8718,1.1035,809.03,1198.54,667.67,0.91034,1.26985,1.02101,615.29,818.84,686.88
"AM1588-117",7.4811,5.688,3.8901,1913.55,2313.08,1266.64,1.74583,1.80839,1.83757,1195.72,1187.71,1256.6
"AM1588-118",5.2948,3.7216,1.8094,1642.92,2018.18,1062.06,1.43446,1.41285,1.7388,1176.47,1139.7,1281.79
"AM1588-119",6.5764,4.5813,2.3301,1902.14,2379.45,1171.91,2.43451,2.45308,2.36396,1183.02,1093.53,1337.34
"AM1588-12",4.8238,4.365,3.8753,2246.11,2368.72,1802.67,1.24843,1.39163,1.40375,1042.15,1079.76,1105.24
"AM1588-121",3.8171,2.3307,1.0488,839.35,1352.1,714.46,0.87286,0.98915,1.01184,521.25,590.02,615.6
"AM1588-126",8.7663,8.1099,7.5244,2036.49,2128.1,1620.63,1.72691,1.96416,1.72192,745.18,929.87,836.47
"AM1588-127",2.5481,1.7652,1.1445,743.87,1186.57,701.97,0.9713,1.1875,0.97425,571.3,661.59,621.56
"AM1588-128",5.1288,4.0113,2.6686,1873.08,2329.15,1160.29,3.31714,3.00391,3.19491,2326.3,2019.24,2213.21
"AM1588-129",2.044,1.5517,1.0158,809.39,1254.93,680.78,0.96646,1.25449,1.12763,597,721.95,751.65
"AM1588-13",7.8524,5.8361,4.1855,2186.19,2449.6,1554.4,3.29306,3.77054,2.53829,2369.84,2489.15,1948.44
"AM1588-131",3.3992,2.2574,1.0517,1431.24,1992.07,842.79,0.92001,1.15553,1.07922,775.4,863.25,870.69
"AM1588-132",4.5249,3.4694,2.3378,1828.72,2199.84,1284.05,1.82653,1.93563,1.87237,1245.59,1293.63,1243.68
"AM1588-133",4.3849,3.6944,3.0182,1156.36,1514.37,1005.77,1.55816,1.72155,1.64148,1010.83,1136.01,1017.58
"AM1588-134",8.1585,6.3445,4.7284,2114.32,2295.74,1581.52,1.63632,1.83382,1.6603,1094.86,1187.44,1103.37
"AM1588-135",4.6696,4.4462,4.2435,1785.32,1823.07,1626.86,1.87913,1.84303,2.07554,1023.04,1050.37,1147.11
"AM1588-137",6.3076,4.4064,2.5384,1274.41,1730.22,929.61,1.33439,1.55944,1.43308,788.01,898.53,888.55
"AM1588-139",4.2241,3.5992,2.9651,1242.02,1555.57,1024.61,2.02472,1.98265,2.15064,1412.18,1357.17,1451.16
"AM1588-14",6.3087,6.1084,5.9264,2396.82,2225.15,1981.65,0.93839,1.08048,1.18338,611.01,697.81,757.42
"AM1588-140",9.7268,6.9679,4.6272,2288.17,2607.82,1575.85,3.40693,3.0615,3.42156,2060.78,1803.94,2101.26
"AM1588-141",4.5789,4.0281,3.522,1682.55,1789.8,1481.1,2.34425,2.73592,1.94809,1413.32,1606.67,1212.82
"AM1588-143",6.7048,5.4812,4.3269,1920,2104.6,1512.59,4.13685,3.81071,3.82886,2754.82,2521.6,2488.19
"AM1588-144",1.542,1.2367,0.9119,934.28,1375.15,832.04,2.36534,2.43391,2.26952,1695.47,1762.98,1514.05
"AM1588-145",3.1971,2.0703,0.9937,1028.62,1512.41,773.6,0.93603,1.11443,1.21376,637.49,726.86,812.32
"AM1588-146",5.9805,4.604,3.3957,1233.81,1612.41,1007.58,4.92837,4.82769,4.13582,2748.58,2719.94,2284.99
"AM1588-148",3.398,2.6609,1.9103,1311.76,1693.32,996.71,1.73184,1.97598,1.66635,1022.3,1123.55,1054.35
"AM1588-15",1.5937,0.8222,0.4766,672.13,1198.84,640.35,0.43287,0.60021,0.60035,389.39,473.07,494.42
"AM1588-151",3.7242,2.7717,1.7107,1059.66,1591.27,762.56,2.63421,2.95418,2.25124,1375.63,1526.44,1225.01
"AM1588-152",7.1848,5.9337,4.4998,2083.52,2287.58,1548.85,1.7195,1.8002,1.86839,1033.23,1064.42,1149.17
"AM1588-153",4.0143,3.7092,3.391,1540.14,1687.34,1354.35,2.58627,2.63908,2.43153,1719.57,1733.14,1582.07
"AM1588-154",4.901,5.0826,5.2732,1703.8,1836.08,1437.58,3.08252,3.10161,2.7356,1931.56,1989.86,1634.61
"AM1588-155",3.783,2.7023,1.6202,1131.21,1570.74,843.04,2.87037,2.38389,3.09707,1322.62,1075.92,1583.07
"AM1588-156",5.9324,4.6315,3.1663,2165.06,2473.38,1454.98,2.33433,2.40233,2.24947,1436.92,1509.88,1342.46
"AM1588-157",2.7707,2.1697,1.655,1118.8,1445.4,966.59,1.83223,1.67546,2.13405,1093.91,925.21,1357.16
"AM1588-16",6.443,5.5581,4.8649,1262.21,1541.86,1134.75,1.17661,1.68541,1.47604,670.5,965.53,907.86
"AM1588-160",1.8294,1.5017,1.1762,941.56,1364.5,855.81,2.44066,1.95581,2.85636,1322.76,1085.28,1571.3
"AM1588-161",7.849,7.5586,7.3234,2730.51,2226.15,2239.58,2.93037,2.74027,2.89567,2078.64,1931.66,1969.33
"AM1588-162",5.6614,4.4067,2.8014,911.18,1455.49,851.26,4.62712,4.57675,3.88696,2039.11,2117.72,1724.26
"AM1588-163",3.9114,3.0779,2.358,1450.43,1719.22,1211.46,2.65513,2.54235,2.63788,1117.91,1130.39,1196.17
"AM1588-164",3.7563,3.1638,2.4983,1167.5,1477.53,1021.06,1.64012,2.17426,1.45846,1021.3,1291.39,953.39
"AM1588-166",5.0655,3.6545,2.1282,1425.39,1901.36,938.49,2.047,2.36948,1.8118,1264.62,1390.35,1180.28
"AM1588-168",9.0326,7.7104,6.2928,2692.47,2912.75,1874.13,4.51645,4.38637,3.48043,2578.85,2569.37,1934.87
"AM1588-169",5.1103,4.2425,3.35,2484.07,2656.77,1746.87,2.62814,2.37708,2.72662,1355.99,1412.93,1308.1
"AM1588-170",3.8963,3.6666,3.4479,1339.12,1640.75,1193.31,2.28911,2.48567,2.09474,1771.25,1777.55,1622.4
"AM1588-171",8.7084,5.714,2.8615,1698.5,2100.15,1097.64,1.8414,2.20186,1.63842,1196.13,1513.04,950.07
"AM1588-172",5.2871,4.7946,4.4967,1764.14,1739.68,1685.32,5.08541,5.56643,3.67584,2701.12,2715.38,2212.7
"AM1588-174",7.471,6.2719,5.0016,1846.13,2054.1,1391.18,3.69908,3.57269,3.34438,1934.35,1905.16,1761.86
"AM1588-175",0.6866,0.5189,0.3576,654.58,1152.75,669.15,1.27835,1.65229,1.43664,944.39,1095.56,1032.32
"AM1588-176",1.2883,1.5609,1.7986,1141.35,1305.34,1193.49,1.48561,1.6983,1.69049,945.3,1093.13,1035.96
"AM1588-179",4.8803,3.4739,2.1982,1150.35,1587.84,909.31,4.08044,4.73288,2.84215,2531.79,2912.31,1747.16
"AM1588-18",7.1027,5.8603,4.3874,2570.08,2820.16,1692.81,0.87108,1.40607,0.82473,523.65,732.13,623.13
"AM1588-180",6.3162,6.0034,5.7328,1582.67,1671.14,1463.7,5.96877,6.39873,4.05031,2432.46,2563.82,1849.19
"AM1588-183",3.853,2.8412,1.8655,1113.21,1515.82,855.02,2.58806,3.06571,2.02061,1171.39,1349.27,1069.53
"AM1588-184",3.2424,2.5205,1.7385,1457.62,1830.36,1090.41,2.58675,2.91539,2.16429,2372.07,2709.23,1686.66
"AM1588-185",4.5945,4.65,4.6894,957.7,1415.63,964.06,3.60698,3.71915,3.05181,1977.8,2083.67,1658.29
"AM1588-186",2.7963,2.053,0.726,932.11,1395.62,969.29,3.13848,3.30132,2.3717,1520.66,1608.42,1331.53
"AM1588-187",5.6041,4.1799,2.7988,1623.37,1978.28,1173.35,1.72038,2.07826,1.60181,1267.39,1436.34,1149.17
"AM1588-188",3.2969,2.2264,1.1151,901.88,1344.26,812.01,3.6861,3.43713,3.45467,2200.83,2110.35,1992.92
"AM1588-189",3.5565,3.0871,2.5304,1517.24,1839.02,1171.16,2.55359,2.83936,2.18383,1360.81,1472.84,1255.47
"AM1588-19",2.0114,1.9247,1.8567,1296.91,1673.21,1150.45,0.49231,0.86538,0.85929,322.68,547.09,557.37
"AM1588-191",5.0287,3.8855,2.7851,1555.84,1844.45,1184.94,1.72009,1.84555,1.78582,1087.78,1155.14,1123.37
"AM1588-194",2.8276,1.987,1.0475,1160.18,1645.52,855.81,2.32738,2.46502,2.17731,1689.23,1614.49,1648.55
